# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 18 21:18:40 2023
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.554658848e+02 7.51146e-01 9.99999e-01 9.99999e-01 9.99668e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.51577e-01 9.99756e-01
3.556436178e+02 7.51591e-01 9.99999e-01 9.99999e-01 9.99712e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.52006e-01 9.99735e-01
3.558214396e+02 7.52027e-01 9.99999e-01 9.99999e-01 9.99746e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.52434e-01 9.99711e-01
3.559993503e+02 7.52449e-01 9.99999e-01 9.99999e-01 9.99765e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.52861e-01 9.99684e-01
3.561773500e+02 7.52872e-01 9.99999e-01 9.99999e-01 9.99790e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.53288e-01 9.99656e-01
3.563554387e+02 7.53289e-01 9.99999e-01 9.99999e-01 9.99809e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.53715e-01 9.99624e-01
3.565336164e+02 7.53684e-01 9.99999e-01 9.99999e-01 9.99805e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.54141e-01 9.99588e-01
3.567118832e+02 7.54029e-01 9.99999e-01 9.99999e-01 9.99737e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.54566e-01 9.99549e-01
3.568902391e+02 7.54400e-01 9.99999e-01 9.99999e-01 9.99710e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.54990e-01 9.99507e-01
3.570686843e+02 7.54807e-01 9.99999e-01 9.99999e-01 9.99735e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.55414e-01 9.99459e-01
3.572472186e+02 7.55215e-01 9.99999e-01 9.99999e-01 9.99769e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.55838e-01 9.99405e-01
3.574258422e+02 7.55604e-01 9.99999e-01 9.99999e-01 9.99784e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.56260e-01 9.99346e-01
3.576045551e+02 7.55978e-01 9.99999e-01 9.99999e-01 9.99784e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.56683e-01 9.99282e-01
3.577833574e+02 7.56362e-01 9.99999e-01 9.99999e-01 9.99806e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.57104e-01 9.99211e-01
3.579622491e+02 7.56741e-01 9.99999e-01 9.99999e-01 9.99829e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.57525e-01 9.99134e-01
3.581412302e+02 7.57111e-01 9.99999e-01 9.99999e-01 9.99847e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.57945e-01 9.99051e-01
3.583203008e+02 7.57476e-01 9.99999e-01 9.99999e-01 9.99861e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.58365e-01 9.98965e-01
3.584994610e+02 7.57834e-01 9.99999e-01 9.99999e-01 9.99872e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.58784e-01 9.98874e-01
3.586787107e+02 7.58181e-01 9.99999e-01 9.99999e-01 9.99878e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.59203e-01 9.98775e-01
3.588580501e+02 7.58514e-01 9.99999e-01 9.99999e-01 9.99870e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.59621e-01 9.98671e-01
3.590374791e+02 7.58834e-01 9.99999e-01 9.99999e-01 9.99850e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.60038e-01 9.98564e-01
3.592169978e+02 7.59128e-01 9.99999e-01 9.99999e-01 9.99796e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.60455e-01 9.98457e-01
3.593966063e+02 7.59361e-01 9.99999e-01 9.99999e-01 9.99661e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.60871e-01 9.98352e-01
3.595763046e+02 7.59642e-01 9.99999e-01 9.99999e-01 9.99585e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.61286e-01 9.98253e-01
3.597560928e+02 7.60006e-01 9.99999e-01 9.99999e-01 9.99610e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.61701e-01 9.98162e-01
